         à          á          â          ã          ä          å          æ          ç          è          é          ê          ë          ì          í          î          ï          ð          ñ          ò          ó          ô          õ          ö          ÷          ø          ù          ú          û          ü          ý          þ          ÿ 
ï 0.00180363 0.00000275 0.00000412 0.00000137 0.00000137 0.00206346 0.00000000 0.00000000 0.00084270 0.00000137 0.00009486 0.00071073 0.00000137 0.00012647 0.01047675 0.00003299 0.00840367 0.00001787 0.00007286 0.00090319 0.00000000 0.00000000 0.00001375 0.00001375 0.00000550 0.00000137 0.00000000 0.00044816 0.00008386 0.00001375 0.00000550 0.00010173 
ð 0.00833494 0.00016497 0.00040142 0.00021996 0.00087295 0.00815210 0.00054989 0.00010448 0.00549889 0.00000000 0.00035743 0.00009348 0.00017047 0.00096918 0.00920926 0.00022545 0.00017047 0.00037392 0.00076847 0.00273982 0.00003299 0.00020071 0.00006461 0.00007286 0.00023508 0.00001787 0.00000000 0.00202771 0.00072448 0.00005224 0.00012647 0.00112590 
ñ 0.00161942 0.00018971 0.00299552 0.00011548 0.00050040 0.00371037 0.00007836 0.00004674 0.00184213 0.00000000 0.00437299 0.00423827 0.00103242 0.00145858 0.00358940 0.00252674 0.00048390 0.00089357 0.01457755 0.00109565 0.00002200 0.00027769 0.00007286 0.00052377 0.00010448 0.00000000 0.00000825 0.00030794 0.00310825 0.00033818 0.00020621 0.00396195 
ò 0.00615875 0.00029144 0.00496962 0.00013197 0.00037805 0.00669352 0.00009073 0.00014847 0.00509197 0.00000137 0.00103242 0.00060213 0.00042891 0.00217206 0.01537076 0.00073410 0.00307800 0.00215281 0.00040142 0.00160842 0.00000825 0.00004674 0.00012235 0.00034643 0.00004124 0.00004812 0.00001237 0.00179951 0.00769982 0.00014022 0.00015259 0.00068599 
ó 0.00015947 0.00078497 0.00139672 0.00166204 0.00275494 0.00042341 0.00193698 0.00046741 0.00059938 0.00013610 0.00111627 0.00111078 0.00120426 0.00100767 0.00048390 0.00157131 0.00072448 0.00210057 0.00208683 0.00016084 0.00002749 0.00050452 0.00002062 0.00150944 0.00095818 0.00036843 0.00000000 0.00000000 0.00000000 0.00012372 0.00131698 0.00017047 
ô 0.00013060 0.00000275 0.00000000 0.00000000 0.00000137 0.00007836 0.00000000 0.00000275 0.00013197 0.00000000 0.00000412 0.00016909 0.00001925 0.00000550 0.00010998 0.00000137 0.00010585 0.00009623 0.00000412 0.00002200 0.00000962 0.00000000 0.00000137 0.00000000 0.00000137 0.00000000 0.00000000 0.00000137 0.00000000 0.00000000 0.00000000 0.00000000 
õ 0.00053064 0.00014847 0.00061038 0.00010860 0.00023783 0.00016222 0.00004949 0.00009761 0.00050865 0.00000000 0.00026395 0.00059525 0.00019246 0.00036155 0.00252399 0.00058288 0.00034231 0.00058976 0.00020071 0.00024608 0.00002612 0.00002474 0.00001375 0.00008111 0.00003437 0.00000137 0.00000412 0.00000000 0.00000137 0.00018421 0.00000550 0.00003024 
ö 0.00082483 0.00001100 0.00006324 0.00000137 0.00000550 0.00101317 0.00000137 0.00000687 0.00016084 0.00000000 0.00012785 0.00000275 0.00001925 0.00002200 0.00022958 0.00002887 0.00000962 0.00003024 0.00001375 0.00016909 0.00000000 0.00000000 0.00000137 0.00000275 0.00000137 0.00000000 0.00000000 0.00020621 0.00000000 0.00000412 0.00000275 0.00000962 
÷ 0.00222292 0.00000412 0.00000962 0.00000000 0.00000412 0.00341756 0.00000000 0.00000000 0.00203734 0.00000000 0.00019109 0.00003712 0.00000550 0.00086607 0.00007149 0.00000687 0.00003849 0.00000962 0.00356740 0.00053064 0.00000000 0.00000000 0.00000000 0.00001100 0.00022820 0.00000000 0.00000000 0.00000000 0.00036843 0.00000000 0.00000000 0.00000000 
ø 0.00114514 0.00000687 0.00002200 0.00000550 0.00001375 0.00288142 0.00000137 0.00000550 0.00187787 0.00000000 0.00054576 0.00048940 0.00000412 0.00040829 0.00042066 0.00010448 0.00001375 0.00001512 0.00004262 0.00042891 0.00000137 0.00000275 0.00000275 0.00000000 0.00000137 0.00000000 0.00000000 0.00000000 0.00068324 0.00000000 0.00000137 0.00000000 
ù 0.00044953 0.00000000 0.00000687 0.00000000 0.00000000 0.00171840 0.00000000 0.00000000 0.00094443 0.00000000 0.00000275 0.00000000 0.00000137 0.00005774 0.00000687 0.00000687 0.00001787 0.00000137 0.00000275 0.00011410 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00007561 0.00000000 0.00000000 0.00000000 
ú 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00004537 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00009211 
û 0.00007423 0.00036705 0.00150395 0.00019659 0.00044816 0.00154106 0.00006324 0.00028319 0.00045366 0.00195485 0.00046328 0.00200847 0.00200572 0.00110390 0.00045641 0.00082483 0.00051964 0.00132111 0.00115889 0.00019796 0.00000412 0.00134173 0.00015809 0.00039867 0.00043991 0.00001237 0.00000000 0.00000000 0.00000000 0.00007149 0.00000275 0.00010585 
ü 0.00010310 0.00050865 0.00138022 0.00015259 0.00049902 0.00103379 0.00014022 0.00050452 0.00082071 0.00000000 0.00170465 0.00023920 0.00087157 0.00277144 0.00087707 0.00105441 0.00027082 0.00285530 0.00065437 0.00025707 0.00001237 0.00007286 0.00008111 0.00060763 0.00062412 0.00001512 0.00000000 0.00000000 0.00000000 0.00019109 0.00067224 0.00043854 
ý 0.00000000 0.00000275 0.00026807 0.00015534 0.00006324 0.00000000 0.00000000 0.00000137 0.00000000 0.00002474 0.00001925 0.00018834 0.00001375 0.00007286 0.00000000 0.00001650 0.00030931 0.00000825 0.00320997 0.00000000 0.00000550 0.00001237 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000137 
þ 0.00013610 0.00058013 0.00033681 0.00009211 0.00069286 0.00009623 0.00008523 0.00008523 0.00026532 0.00000412 0.00024195 0.00007973 0.00017596 0.00058426 0.00025157 0.00026670 0.00015672 0.00060625 0.00066949 0.00006461 0.00003162 0.00003712 0.00001512 0.00025020 0.00005224 0.00051415 0.00000000 0.00000000 0.00000000 0.00004124 0.00004124 0.00003987 
ÿ 0.00012647 0.00055126 0.00191224 0.00035468 0.00109840 0.00053064 0.00029694 0.00069286 0.00086882 0.00010310 0.00098430 0.00086195 0.00096368 0.00202222 0.00087707 0.00120701 0.00038767 0.00187100 0.00222705 0.00032031 0.00004537 0.00032718 0.00004949 0.00037667 0.00007286 0.00027907 0.00000000 0.00000000 0.00000000 0.00017321 0.00018559 0.00022958 
