         à          á          â          ã          ä          å          æ          ç          è          é          ê          ë          ì          í          î          ï          ð          ñ          ò          ó          ô          õ          ö          ÷          ø          ù          ú          û          ü          ý          þ          ÿ 
ï 0.00168266 0.00000275 0.00000275 0.00000000 0.00000275 0.00214732 0.00000000 0.00000000 0.00090457 0.00000275 0.00009898 0.00071486 0.00000000 0.00012647 0.01068984 0.00003574 0.00831157 0.00001375 0.00008248 0.00088257 0.00000000 0.00000000 0.00001925 0.00001650 0.00000550 0.00000000 0.00000000 0.00042891 0.00009348 0.00001650 0.00000550 0.00010998 
ð 0.00837480 0.00016222 0.00039867 0.00021996 0.00090182 0.00813835 0.00055264 0.00012098 0.00553188 0.00000000 0.00034093 0.00009898 0.00016497 0.00092381 0.00920514 0.00024195 0.00018971 0.00038492 0.00073410 0.00266421 0.00003299 0.00019246 0.00007423 0.00008248 0.00024470 0.00002200 0.00000000 0.00209508 0.00074235 0.00005774 0.00012647 0.00104754 
ñ 0.00163867 0.00021446 0.00291716 0.00011548 0.00047290 0.00373099 0.00007149 0.00003574 0.00180363 0.00000000 0.00430838 0.00419840 0.00102004 0.00142696 0.00359627 0.00241401 0.00050590 0.00087157 0.01424761 0.00112177 0.00002749 0.00027494 0.00007149 0.00054164 0.00007698 0.00000000 0.00001100 0.00032168 0.00309587 0.00037117 0.00020071 0.00403343 
ò 0.00618900 0.00027494 0.00500124 0.00010998 0.00035743 0.00690385 0.00009348 0.00015672 0.00500949 0.00000275 0.00101180 0.00061862 0.00046466 0.00222980 0.01533914 0.00073135 0.00312337 0.00207858 0.00039042 0.00158643 0.00001100 0.00003849 0.00014022 0.00035468 0.00004124 0.00004399 0.00001375 0.00180363 0.00783591 0.00012922 0.00016497 0.00069836 
ó 0.00019521 0.00080284 0.00139397 0.00172665 0.00260647 0.00044266 0.00197960 0.00047290 0.00062412 0.00013472 0.00112177 0.00110803 0.00116851 0.00095956 0.00051690 0.00155344 0.00069286 0.00211982 0.00207858 0.00018696 0.00003299 0.00053339 0.00001375 0.00148195 0.00096780 0.00034093 0.00000000 0.00000000 0.00000000 0.00013472 0.00130599 0.00015947 
ô 0.00013472 0.00000550 0.00000000 0.00000000 0.00000275 0.00008248 0.00000000 0.00000550 0.00012372 0.00000000 0.00000275 0.00017321 0.00001650 0.00000825 0.00010173 0.00000000 0.00011273 0.00011273 0.00000275 0.00001375 0.00001100 0.00000000 0.00000275 0.00000000 0.00000275 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
õ 0.00056913 0.00014297 0.00069836 0.00010448 0.00023645 0.00015397 0.00004399 0.00009348 0.00050865 0.00000000 0.00025570 0.00060763 0.00016222 0.00033818 0.00248550 0.00059113 0.00035743 0.00059113 0.00021996 0.00023095 0.00003024 0.00002474 0.00000825 0.00006324 0.00003849 0.00000275 0.00000275 0.00000000 0.00000275 0.00014847 0.00000550 0.00004399 
ö 0.00076160 0.00000550 0.00005499 0.00000000 0.00000825 0.00106403 0.00000275 0.00001100 0.00019796 0.00000000 0.00012922 0.00000550 0.00001375 0.00001925 0.00020071 0.00002749 0.00001100 0.00004124 0.00001375 0.00017871 0.00000000 0.00000000 0.00000275 0.00000275 0.00000000 0.00000000 0.00000000 0.00018971 0.00000000 0.00000275 0.00000550 0.00000550 
÷ 0.00223530 0.00000000 0.00001375 0.00000000 0.00000825 0.00347530 0.00000000 0.00000000 0.00214732 0.00000000 0.00016497 0.00003574 0.00000275 0.00086882 0.00006324 0.00000000 0.00004124 0.00001375 0.00365676 0.00054439 0.00000000 0.00000000 0.00000000 0.00001100 0.00020071 0.00000000 0.00000000 0.00000000 0.00039867 0.00000000 0.00000000 0.00000000 
ø 0.00110253 0.00000550 0.00001375 0.00000275 0.00000825 0.00291716 0.00000275 0.00000825 0.00186412 0.00000000 0.00056364 0.00051415 0.00000275 0.00037667 0.00042341 0.00010998 0.00000825 0.00001375 0.00003574 0.00043716 0.00000275 0.00000550 0.00000275 0.00000000 0.00000275 0.00000000 0.00000000 0.00000000 0.00069836 0.00000000 0.00000275 0.00000000 
ù 0.00055264 0.00000000 0.00000275 0.00000000 0.00000000 0.00171840 0.00000000 0.00000000 0.00092106 0.00000000 0.00000550 0.00000000 0.00000275 0.00004949 0.00000825 0.00000275 0.00001375 0.00000000 0.00000550 0.00012647 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00007973 0.00000000 0.00000000 0.00000000 
ú 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00004399 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00006599 
û 0.00005774 0.00037117 0.00143521 0.00020346 0.00045641 0.00153419 0.00006049 0.00026120 0.00045091 0.00201809 0.00043441 0.00206483 0.00197135 0.00113552 0.00043716 0.00077809 0.00057463 0.00135548 0.00111627 0.00021171 0.00000275 0.00128124 0.00014847 0.00040417 0.00042341 0.00001375 0.00000000 0.00000000 0.00000000 0.00005774 0.00000275 0.00011273 
ü 0.00010723 0.00049490 0.00136097 0.00014022 0.00050590 0.00097605 0.00015122 0.00048940 0.00074785 0.00000000 0.00169091 0.00023920 0.00092106 0.00269445 0.00087707 0.00104204 0.00026670 0.00276869 0.00065987 0.00024745 0.00001375 0.00006049 0.00007698 0.00060763 0.00065712 0.00001375 0.00000000 0.00000000 0.00000000 0.00020071 0.00061038 0.00042891 
ý 0.00000000 0.00000275 0.00026120 0.00016222 0.00007698 0.00000000 0.00000000 0.00000275 0.00000000 0.00001925 0.00001925 0.00019796 0.00001100 0.00006324 0.00000000 0.00001650 0.00029144 0.00000550 0.00317011 0.00000000 0.00000550 0.00000825 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000275 
þ 0.00013747 0.00058288 0.00034368 0.00008248 0.00067911 0.00009623 0.00008798 0.00009898 0.00028594 0.00000550 0.00023645 0.00007698 0.00017047 0.00061588 0.00028869 0.00025020 0.00017596 0.00060213 0.00063787 0.00005499 0.00002749 0.00005224 0.00001375 0.00027219 0.00004949 0.00051140 0.00000000 0.00000000 0.00000000 0.00003849 0.00004674 0.00003024 
ÿ 0.00011273 0.00057738 0.00185862 0.00034918 0.00105029 0.00054714 0.00028319 0.00065712 0.00081933 0.00009073 0.00099805 0.00081109 0.00101729 0.00203184 0.00085233 0.00117676 0.00039592 0.00202634 0.00228479 0.00032993 0.00003574 0.00031619 0.00004124 0.00037392 0.00006874 0.00028869 0.00000000 0.00000000 0.00000000 0.00016772 0.00020896 0.00022270 
